总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
187944714931.31,92349301696.14,证券,20180620,601066,中信建投,7756694797.0,3811362018.0
182401231950.99,180978786589.28,家电行业,19961118,000651,格力电器,5631405741.0,5587489552.0
76220972215.70001,71268248594.41,生物制品,19961218,000661,长春高新,404720290.0,378422177.0
617641465755.6,617615566588.8,酿酒行业,19980427,000858,五 粮 液,3881608005.0,3881445240.0
80327745167.24,78912477119.07,家电行业,20050607,002050,三花智控,3590869252.0,3527602911.0
206490148960.5,206490148960.5,房地产开发,20060731,600048,保利发展,11970443418.0,11970443418.0
37307882391.0,24098873928.9,计算机设备,20080520,002236,大华股份,3033161170.0,1959258043.0
149315100101.8,102410715119.87999,航空机场,20060818,601111,中国国航,14524815185.0,9962131821.0
412436188996.98004,412435857331.23004,医疗器械,20181016,300760,迈瑞医疗,1212441394.0,1212440419.0
90342930976.2,61735485572.27999,专用设备,20181109,300751,迈为股份,173011090.0,118226446.0
81166043398.3,64543474685.48,光伏设备,20190319,300763,锦浪科技,377200685.0,299951086.0
96287016800.0,28338479000.0,化学原料,20190516,600989,宝丰能源,7333360000.0,2158300000.0
46062223014.6,36275693758.799995,半导体,20190618,300782,卓胜微,533745342.0,420344076.0
41120000000.0,41120000000.0,通信服务,20190628,601698,中国卫通,4000000000.0,4000000000.0
35611747452.1,35611747452.1,证券,20190705,601236,红塔证券,4716787742.0,4716787742.0
66991997291.04,66436190332.56,农牧饲渔,19980311,000876,新 希 望,4538753204.0,4501096906.0
626653119380.7,520127337100.7,煤炭行业,20071009,601088,中国神华,19868519955.0,16491037955.0
883272031250.0,650735312500.0,保险,20070109,601628,中国人寿,28264705000.0,20823530000.0
900826641197.46,644942475428.76,银行,20060705,601988,中国银行,294387791241.0,210765514846.0
32901666037.11,15452085857.13,化纤行业,20060823,002064,华峰化学,4962543897.0,2330631351.0
32801757528.75,20400488288.25,电池,20190722,688005,容百科技,450883265.0,280419083.0
137861208303.0,107384512053.0,电力行业,20190826,003816,中国广核,50498611100.0,39334986100.0
49563539077.5,49563539077.5,消费电子,20190930,688036,传音控股,803950350.0,803950350.0
64143099982.41,12788228152.970001,美容护理,20191106,688363,华熙生物,481085277.0,95914109.0
106786620609.37,50524830609.37,软件开发,20191118,688111,金山办公,461221529.0,218221529.0
63168029430.66,20821619166.48,银行,20191126,601916,浙商银行,21268696778.0,7010646184.0
388012663941.0,47352737955.6,银行,20191210,601658,邮储银行,92383967605.0,11274461418.0
219505986211.16998,122159267280.26999,物流行业,20200116,601816,京沪高铁,49106484611.0,27328695141.0
24404631607.47,18753535758.96,家电行业,20200221,688169,石头科技,93687403.0,71993304.0
40852299619.56,39472656354.3,装修建材,19970606,000786,北新建材,1689507842.0,1632450635.0
60360381610.28,45450208500.71,消费电子,19960828,600745,闻泰科技,1246342796.0,938472197.0
27921949424.52,25984907274.5,电子元件,20040625,002008,大族激光,1052070438.0,979084675.0
35702856827.82,30760917097.68,生物制品,20040625,002007,华兰生物,1824366726.0,1571840424.0
